sku_id,product_name,user_type,2111416,2115480,2128681,2110602,2114377,2112316,2110594,2113820,2110572,2110824,2115532,2114475,2113885,2127867,2125000,2110599,2116834,2125300,2115567,2116446,2125450,2127913,2126886,2127502,2110597,2111618,2111503,2128167,2124909,2127370,2115099,2110603,2112309,2126992,2127534,2110231,2112331,2112056,2114458,2112605,2127761,2111122,2110240,2111500,2123927,2127096,2113318,2128458,2125015,2116054,2112372,2116435,2128457,2110648,2113308,2111017,2110646,2129005,2127574,2112178,2113342,2113630,2126813,2125594,2115874,2126754,2113734,2128460,2127282,2127337,2127291,2125534,2127285,2110268,2124566,2114700,2112298,2112837,2114207,2114485,2114646,2126626,2127084,2112810,2101125,2100332,2118726,2111661,2129038,2112489,2110285,2123899,2111379,2127897,2126459,2118281,2114922,2110400,2124321,2127516,2112536,2110442,2127896,2110446,2127524,2115858,2112200,2123686,2115584,2111295,2110555,2116121,2124932,2110327,2127735,2124234,2113393,2127389,2113413,2115274,2115622,2129041,2110308,2112468,2125128,2110315,2128174,2110833,2126617,2110595,2115155,2113284,2129240,2129484,2127309,updatedDate,insertedDate
fbr01hr0101p07,FORTUNE BIRYSPB RICE ST FG 4X5KG PP CAR,Individual,20,0,0,0,,18,165,0,0,0,,0,,20,4,8,24,0,17,0,13,,0,,24,,,,153,,24,34,,16,24,3,10,5,0,5,0,0,0,0,2,2,10,5,2,,1,1,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,4,4,4,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3,0,,0,,,16,100,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01hr0101p04,FORTUNE BIRYSPB RICE ST FG 20X1KG PH,Individual,,,,,,,90,,,,,,,10,60,80,,,14,34,55,,,,120,,,,,,13,,,,,20,29,20,20,20,0,0,100,6,20,10,12,15,15,5,8,9,10,,,,,,2,,,,,,,,120,461,80,40,40,40,40,40,100,200,220,307,2942,140,300,,,,,,,19,,17,17,17,17,20,,20,0,20,,,,,360,75,,6,70,60,400,10,0,0,0,,0,9,50,500,,,,500,400,200,200,100,,,,,,,,,100,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbesa1021p07,FORTUNE CHANA BESAN GARGARA 20X1 KG PCH,Individual,,,,,,,40,,,,,,,100,,,,,,,92,,,,,,,,,,,31,,,,8,0,0,10,50,59,0,0,13,,,,,,,,,,,,,,,10,,,,,,,,,,155,150,150,150,150,150,,300,100,,,,,,,,,,,0,,,,,,,10,,,19,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,120,,2020-09-08T03:51:25.823Z,2020-08-25T16:34:23.498Z
fbesa1021p06,FORTUNE CHANA BESAN GARGARA 40X500g PCH,Individual,,,,,,,120,,,,,,,235,,,,,183,89,212,,,,,,,,,,20,157,,,,200,20,0,200,50,80,194,150,20,,,,,,,,,,,,,,,3,,,,,,,,120,396,,130,130,130,130,130,,,200,2,,100,40,,,,,,,49,,,,,,,20,,,30,,,,9,320,178,,119,200,,200,,,,,,,,,,,,,,,,,,,,,40,,49,,120,,2020-09-06T09:03:18.058Z,2020-08-25T16:34:23.498Z
fbesa1011p07,FORTUNE CHANA BESAN SF 20X1 KG PCH,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,3,5,5,2,,,,2,0,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,40,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbesa1011p06,FORTUNE CHANA BESAN SF 40X500g PCH,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,5,5,5,2,2,2,38,80,38,40,0,40,0,,0,0,40,0,780,,,38,,,,,,,,,,,,,,,,,,,,,30,30,30,30,,,,47,,0,40,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr08hr0121p07,FORTUNE CLASSIC BIRYANI BR - 4X5KG CAR,Individual,0,0,0,0,0,5,10,0,0,0,0,0,8,20,20,0,0,0,0,0,0,,0,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,0,8,0,,0,0,0,0,,,,,,,,,,8,0,0,0,0,4,0,,,,,,,,0,1,1,1,1,,,,,,8,20,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,25,0,24,,,100,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr08hr0121p04,FORTUNE CLASSIC BIRYANI BR - 20X1KG CAR,Individual,0,0,0,,0,4,10,,0,0,0,0,,10,40,0,20,0,0,0,16,,0,,,,,,0,,68,8,,36,,5,5,5,5,15,0,0,0,20,,,,,,,,,,20,20,20,20,0,20,0,,0,0,0,0,19,,24,,,,,,,,,,294,,,,,,,,,,0,0,5,10,10,5,,,,,20,20,40,,,,,,34,25,20,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,100,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr02du0110p04,FORTUNE DUBAR RAW RICE 20X1 KG PH BAG,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,100,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01du0102p04v4,FORTUNE DUBAR ST RICE 20X1 KG PH BAG,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,40,0,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
